Year,Avg Desert Max Temp,Avg Desert Min Temp,Desert Wind Speed,Desert Wind Direction,Desert Evapotrasnpiration
1995,93.87333333333332,70.32,15.093333333333334,122.26666666666667,8.482666666666667
1996,93.94333333333334,69.66000000000001,13.196666666666665,230.83333333333334,8.074666666666667
1997,90.86666666666666,68.36333333333333,15.466666666666667,156.83333333333334,7.7876666666666665
1998,93.84666666666666,71.25333333333333,14.5,117.5,7.9910000000000005
1999,93.51,69.67,13.803333333333335,131.63333333333333,8.211333333333334
2000,91.98,66.45,13.33,120.0,8.006666666666668
2001,93.59666666666666,68.84333333333333,14.979999999999999,103.93333333333334,8.614666666666666
2002,93.91333333333334,69.54666666666667,13.676666666666668,148.63333333333333,7.830333333333333
2003,91.66000000000001,68.77666666666667,15.66,112.86666666666666,8.239
2004,90.77,66.01666666666667,15.263333333333332,157.8,8.221333333333332
2005,91.42,69.55333333333333,14.639999999999999,117.93333333333334,7.862666666666667
2006,91.73,69.05333333333333,13.236666666666668,140.5,7.427666666666667
2007,89.88333333333334,67.95666666666666,15.633333333333333,96.33333333333333,8.045
2008,92.24333333333334,69.22666666666667,14.553333333333335,122.76666666666667,7.9656666666666665
2009,91.27333333333333,69.58666666666666,12.933333333333334,133.53333333333333,7.167666666666666
2010,92.43,69.66333333333334,13.870000000000001,99.4,7.627
2011,91.35333333333332,68.04,16.83,98.6,8.725
2012,91.16666666666667,70.84666666666666,14.479999999999999,151.53333333333333,7.583
2013,91.76,68.34333333333333,13.713333333333333,170.6,7.742999999999999
2014,92.66333333333334,69.33,15.270000000000001,96.36666666666666,8.317666666666666
2015,92.59666666666666,70.08333333333333,13.42,147.9,7.361
2016,92.13000000000001,69.73666666666666,14.666666666666666,108.9,8.014333333333333
2017,91.89,69.94,14.403333333333334,138.33333333333334,8.065999999999999
2018,88.53,69.76333333333334,15.033333333333333,86.26666666666667,7.263333333333334
2019,90.71000000000001,70.55333333333333,16.43,91.8,8.239333333333333
2020,90.96333333333334,70.36666666666666,16.233333333333334,98.0,8.495
2021,90.27666666666667,69.91666666666667,16.486666666666668,89.33333333333333,8.695
2022,91.47666666666667,70.49666666666667,15.076666666666666,112.3,8.045333333333334
2023,92.76666666666667,70.66000000000001,16.133333333333333,108.13333333333334,8.200333333333333
