Year,Named Storms,Hurricanes,MajorHurricanes,Avg Ocean Max Temp,Avg Ocean Min Temp,Ocean Wind Speed,Ocean Wind Direction,Ocean Evapotrasnpiration,Avg Desert Max Temp,Avg Desert Min Temp,Desert Wind Speed,Desert Wind Direction,Desert Evapotrasnpiration
2003,16,7,3,60.61,55.45,12.98333333,227.0333333,2.767666667,91.66,68.77666667,15.66,112.8666667,8.239
2004,15,9,6,61.77,56.72,11.61666667,181.6666667,2.949333333,90.77,66.01666667,15.26333333,157.8,8.221333333
2005,28,15,7,60.69,55.28,11.55333333,221.6,2.735,91.42,69.55333333,14.64,117.9333333,7.862666667
2006,10,5,2,60.82,56.07,10.94333333,182.0666667,2.741666667,91.73,69.05333333,13.23666667,140.5,7.427666667
2007,15,6,2,60.97333333,55.05,11.20666667,231.1333333,2.888333333,89.88333333,67.95666667,15.63333333,96.33333333,8.045
2008,16,8,5,58.52,53.09333333,13.83666667,248,2.749666667,92.24333333,69.22666667,14.55333333,122.7666667,7.965666667
2009,9,3,2,60.24666667,55.50333333,13.96,250.8,2.652666667,91.27333333,69.58666667,12.93333333,133.5333333,7.167666667
2010,19,12,5,60.75666667,55.41666667,12.03666667,207.8666667,2.754333333,92.43,69.66333333,13.87,99.4,7.627
2011,19,7,4,60.14666667,55.00666667,11.57666667,211.1666667,2.764333333,91.35333333,68.04,16.83,98.6,8.725
2012,19,10,2,59.75,54.02666667,11.14666667,238.6333333,2.646,91.16666667,70.84666667,14.48,151.5333333,7.583
2013,14,2,0,58.76333333,54.07333333,12.59666667,255.5666667,2.723,91.76,68.34333333,13.71333333,170.6,7.743
2014,8,6,2,61.20333333,55.61333333,11.62,216.9666667,2.730333333,92.66333333,69.33,15.27,96.36666667,8.317666667
2015,11,4,2,61.02333333,55.08333333,12.55333333,207.9,2.584666667,92.59666667,70.08333333,13.42,147.9,7.361
2016,15,7,4,60.66666667,55.72,10.85666667,193.3333333,2.775,92.13,69.73666667,14.66666667,108.9,8.014333333
2017,17,10,6,62.97333333,55.25666667,21.44,199.6666667,3.090333333,91.89,69.94,14.40333333,138.3333333,8.066
