Year,Avg Ocean Max Temp,Avg Ocean Min Temp ,Ocean Wind Speed,Ocean Wind Direction,Ocean Evapotrasnpiration
1978,58.62,54.123333333333335,10.853333333333333,236.06666666666666,2.6363333333333334
1979,59.309999999999995,53.556666666666665,13.97,215.7,2.824
1980,61.39333333333333,55.07666666666667,11.693333333333333,194.53333333333333,2.9743333333333335
1981,59.833333333333336,53.72,12.956666666666667,212.36666666666667,2.815
1982,61.266666666666666,55.95666666666667,13.41,169.73333333333332,2.7896666666666667
1983,58.79,53.82666666666667,14.05,268.96666666666664,2.420666666666667
1984,60.13666666666666,55.123333333333335,12.976666666666667,249.86666666666667,2.570666666666667
1985,61.07,55.69666666666667,12.613333333333333,236.86666666666667,2.804666666666667
1986,62.10333333333333,56.60666666666667,11.313333333333333,206.86666666666667,2.8853333333333335
1987,61.0,55.91,12.78,193.96666666666667,2.7146666666666666
1988,59.65,54.230000000000004,11.966666666666667,209.76666666666668,2.768666666666667
1989,59.63,54.586666666666666,12.086666666666668,214.53333333333333,2.6766666666666667
1990,60.723333333333336,55.39666666666667,11.973333333333333,182.9,2.8016666666666667
1991,60.57,55.22666666666667,13.34,229.8,2.6666666666666665
1992,60.083333333333336,55.233333333333334,11.5,223.5,2.679333333333333
1993,60.766666666666666,55.516666666666666,11.5,205.8,2.829333333333333
1994,60.62,55.18666666666666,13.15,212.2,2.74
1995,60.11,54.95333333333333,12.129999999999999,222.93333333333334,2.6046666666666667
1996,58.68,53.776666666666664,13.593333333333334,173.46666666666667,2.606333333333333
1997,62.84666666666667,56.69666666666667,11.513333333333332,189.13333333333333,2.8236666666666665
1998,60.2,54.67333333333333,12.303333333333335,211.53333333333333,2.969
1999,59.14666666666667,53.556666666666665,12.093333333333334,202.3,2.683
2000,60.43666666666666,55.06333333333334,12.736666666666668,226.3,2.8449999999999998
2001,60.32333333333334,55.49333333333333,13.56,229.93333333333334,2.649
2002,62.07,56.163333333333334,12.57,196.4,2.8513333333333337
2003,60.61,55.45,12.983333333333333,227.03333333333333,2.7676666666666665
2004,61.769999999999996,56.72,11.616666666666667,181.66666666666666,2.9493333333333336
2005,60.690000000000005,55.28,11.553333333333335,221.6,2.735
2006,60.82,56.07,10.943333333333333,182.06666666666666,2.7416666666666667
2007,60.973333333333336,55.05,11.206666666666667,231.13333333333333,2.8883333333333336
2008,58.519999999999996,53.093333333333334,13.836666666666668,248.0,2.7496666666666667
2009,60.24666666666667,55.50333333333333,13.96,250.8,2.6526666666666667
2010,60.75666666666667,55.416666666666664,12.036666666666667,207.86666666666667,2.7543333333333333
2011,60.14666666666667,55.00666666666667,11.576666666666666,211.16666666666666,2.764333333333333
2012,59.75,54.026666666666664,11.146666666666667,238.63333333333333,2.646
2013,58.763333333333335,54.07333333333334,12.596666666666666,255.56666666666666,2.723
2014,61.20333333333333,55.61333333333334,11.620000000000001,216.96666666666667,2.7303333333333333
2015,61.02333333333333,55.083333333333336,12.553333333333335,207.9,2.5846666666666662
2016,60.666666666666664,55.72,10.856666666666666,193.33333333333334,2.775
2017,62.973333333333336,55.25666666666667,21.44,199.66666666666666,3.0903333333333336
2018,60.39,53.31666666666667,19.16,236.16666666666666,2.8276666666666666
2019,65.33666666666666,57.00333333333333,19.866666666666667,195.93333333333334,3.05
2020,60.86,53.223333333333336,19.173333333333336,218.03333333333333,2.734
2021,61.57,54.18333333333333,21.096666666666668,197.9,2.994333333333333
2022,61.663333333333334,53.809999999999995,18.273333333333333,218.46666666666667,2.859666666666667
2023,60.943333333333335,53.330000000000005,21.413333333333334,254.43333333333334,2.967
